Comment_number,User_number,Date_of_comment,Proof_of_payment,Platform_ID,Platform,Nested_comment,Rating,Comment,comment_clean,date,time_of_comment,year,month,month_year,week_day,week_day_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61842,19747,2014-01-03 13:41:32,0,191,toilokdo,0,1,"Site en déperdition totale.<br />
<br />
La boutique n'a même pas été renouvelée à Noël et les chèques que l'ont pouvant encore obtenir avec des pépites ont disparus ...<br />
<br />
Même le blog, autoproclamé remplaçant du forum (autrement dit : censure des joueurs déconfits !) et dont la dernière news remontait à août 2013, a lui aussi disparu ...<br />
<br />
Mort lente assurée ...","Site en déperdition totale.  La boutique n'a même pas été renouvelée à Noël et les chèques que l'ont pouvant encore obtenir avec des pépites ont disparus ...  Même le blog, autoproclamé remplaçant du forum (autrement dit : censure des joueurs déconfits !) et dont la dernière news remontait à août 2013, a lui aussi disparu ...  Mort lente assurée ...",2014-01-03,2020-05-09 13:41:32,2014,1,2014-01,4,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62078,13373,2014-01-05 12:19:13,0,9639,Weed-PTC,0,1,"Réponce a Nandou33 Modérateur sur NBT.... Pas commentateurs....<br />
<br />
Vous prenez souvent la déffence des webmaster fautif ... pourquoi... je panssait que sur NBT chaque webmaster est responsable de sa réputation sur le web... peut-être que vous avez eu cette réponce du webmaster du site qui est visiblement un SCAM puisque en 4 mois pour ma part j'ai fait 19 demande de paiement qui ont tout été retourné sur le compte WEED-PTC et ce sans que je reçoive de courriel de refus de paiement, que les script Céadunet inclue habituellement...(il faut le désactivé non...).<br />
<br />
Alors pour que le site obtienne votre déffence de la sorte , et je vous site...                                                                                    Merci à d'autres membres de poster une réclamation afin de modifier le statut.<br />
<br />
Ce n'est pas douteux mais un SCAM ... et ce site ma déja payé... Mais dans le passé....<br />
<br />
P.S. je sais que vous membre de plusieurs PTP pour les aissez et c'est normal et apprécié que quelqu'un le fasse pour nous... mais si moi je le sais ....les webmaster des site aussi.... alors a mon avis vous avez un meilleurs service...... Comme CAAQuébec quand il vont a l'hôtel<br />
<br />
Merci <br />
Toystory077","Réponce a Nandou33 Modérateur sur NBT.... Pas commentateurs....  Vous prenez souvent la déffence des webmaster fautif ... pourquoi... je panssait que sur NBT chaque webmaster est responsable de sa réputation sur le web... peut-être que vous avez eu cette réponce du webmaster du site qui est visiblement un SCAM puisque en 4 mois pour ma part j'ai fait 19 demande de paiement qui ont tout été retourné sur le compte WEED-PTC et ce sans que je reçoive de courriel de refus de paiement, que les script Céadunet inclue habituellement...(il faut le désactivé non...).  Alors pour que le site obtienne votre déffence de la sorte , et je vous site...                                                                                    Merci à d'autres membres de poster une réclamation afin de modifier le statut.  Ce n'est pas douteux mais un SCAM ... et ce site ma déja payé... Mais dans le passé....  P.S. je sais que vous membre de plusieurs PTP pour les aissez et c'est normal et apprécié que quelqu'un le fasse pour nous... mais si moi je le sais ....les webmaster des site aussi.... alors a mon avis vous avez un meilleurs service...... Comme CAAQuébec quand il vont a l'hôtel  Merci  Toystory077",2014-01-05,2020-05-09 12:19:13,2014,1,2014-01,6,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61916,27383,2014-01-03 20:43:34,0,451,archokdo.com,0,1,Site a l'abandon <span class=editCom> | Edit. : 03/01/2014 20:43:50</span>,Site a l'abandon  | Edit. : 03/01/2014 20:43:50,2014-01-03,2020-05-09 20:43:34,2014,1,2014-01,4,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62113,11043,2014-01-05 17:40:45,0,3480,thuneo,0,1,"et bien après quelques jours sans jamais avoir eu de réponse suite au paiement reçu avec plus de la moitié en moins pris comme ""commission"", je laisse tomber ce site, pour moi il est douteux maintenant, c'est dommage c'était l'un de mes préférés. mais attendre des jours et des jours et être payé un coup entièrement un coup avec plus de 60% de frais c'est une loterie au bon vouloir au vu de tous les paiements différents reçus par tous, il n'y a qu'à lire  les autres preuves des gens et plus de réponse aux mails ..... ","et bien après quelques jours sans jamais avoir eu de réponse suite au paiement reçu avec plus de la moitié en moins pris comme ""commission"", je laisse tomber ce site, pour moi il est douteux maintenant, c'est dommage c'était l'un de mes préférés. mais attendre des jours et des jours et être payé un coup entièrement un coup avec plus de 60% de frais c'est une loterie au bon vouloir au vu de tous les paiements différents reçus par tous, il n'y a qu'à lire  les autres preuves des gens et plus de réponse aux mails ..... ",2014-01-05,2020-05-09 17:40:45,2014,1,2014-01,6,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62133,27383,2014-01-05 20:43:41,0,10635,Winclick,0,1,"Arnaque , j'ai commandé mon cadeau au bout de 300 jours (un crayon) , lors de la validation du lot , une page s'affiche , pour payer le lot en question ... Je n'appelle pas cela jeux gratuits , alors qu'il faut payer ","Arnaque , j'ai commandé mon cadeau au bout de 300 jours (un crayon) , lors de la validation du lot , une page s'affiche , pour payer le lot en question ... Je n'appelle pas cela jeux gratuits , alors qu'il faut payer ",2014-01-05,2020-05-09 20:43:41,2014,1,2014-01,6,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62185,21860,2014-01-06 16:04:26,0,9961,LuckyTaskz,0,1,il faudrait le mettre en arnaque ,il faudrait le mettre en arnaque ,2014-01-06,2020-05-09 16:04:26,2014,1,2014-01,Monday,Monday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62186,21860,2014-01-06 16:05:03,0,8495,QuickPayReward,0,1,allez en scam,allez en scam,2014-01-06,2020-05-09 16:05:03,2014,1,2014-01,Monday,Monday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62188,21860,2014-01-06 16:08:09,0,10073,pointstorewards,0,1,"site qui devais payer tous le monde , le 31 décembre , n'a jamais payer et ne réponds plus aux messages et censure sur la shoutbox","site qui devais payer tous le monde , le 31 décembre , n'a jamais payer et ne réponds plus aux messages et censure sur la shoutbox",2014-01-06,2020-05-09 16:08:09,2014,1,2014-01,Monday,Monday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62249,14028,2014-01-06 18:04:57,0,457,MILIMEL,0,1,"Bonjour,<br />
<br />
alors j'ai été payer 30? puis avais une demande de 15,55? en cours.<br />
<br />
Elle est marqué payé alors que je n'ai rien reçus. J'ai envoyé un mail par la partie contact mais pas de réponse depuis 2 mois environ.<br />
<br />
Cordialement Newic. ;)<br />
<br />
Edit : mail envoyé le 22/11/2013 : <br />
<br />
Bonjour,<br />
 <br />
j'ai effectué une demande de paiement par virement bancaire de 15.55 au début du mois que j'ai du effectué 2 fois, il est noté sur mon compte comme reçus or je n'ai rien reçus.<br />
 <br />
Serait possible d'en savoir plus s'il vous plait.<br />
<span class=editCom> | Edit. : 06/01/2014 18:06:39</span>","Bonjour,  alors j'ai été payer 30? puis avais une demande de 15,55? en cours.  Elle est marqué payé alors que je n'ai rien reçus. J'ai envoyé un mail par la partie contact mais pas de réponse depuis 2 mois environ.  Cordialement Newic. ;)  Edit : mail envoyé le 22/11/2013 :   Bonjour,   j'ai effectué une demande de paiement par virement bancaire de 15.55 au début du mois que j'ai du effectué 2 fois, il est noté sur mon compte comme reçus or je n'ai rien reçus.   Serait possible d'en savoir plus s'il vous plait.  | Edit. : 06/01/2014 18:06:39",2014-01-06,2020-05-09 18:04:57,2014,1,2014-01,Monday,Monday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62253,14028,2014-01-06 18:20:55,0,4919,Stomy-payecash,0,1,"Bonjour,<br />
<br />
plus de new's du Web, je ne suis plus officiellement administrateur du forum du site et n'ai plus accès à rien afin de garantir un fonctionnement correcte du site.<br />
<br />
Plus de conversion, ni de mise à jours des classements, 4 à 5 membres actif et encore.<br />
<br />
Je quitte désormais le site avec de la ranc?ur mais je n'en peu plus.<br />
<br />
Je souhaite aux membre de voir mieux ailleurs.<br />
<br />
Cordialement Newic. ;)","Bonjour,  plus de new's du Web, je ne suis plus officiellement administrateur du forum du site et n'ai plus accès à rien afin de garantir un fonctionnement correcte du site.  Plus de conversion, ni de mise à jours des classements, 4 à 5 membres actif et encore.  Je quitte désormais le site avec de la ranc?ur mais je n'en peu plus.  Je souhaite aux membre de voir mieux ailleurs.  Cordialement Newic. ;)",2014-01-06,2020-05-09 18:20:55,2014,1,2014-01,Monday,Monday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62407,25595,2014-01-08 14:23:00,0,6900,Sponsokdo,0,1,"Laissez, ya rien à faire ils m'ont volé 30? moi.. En plus de cela netbusinessrating est en mêche avec eux..<span class=editCom> | Edit. : 08/01/2014 17:01:10</span>","Laissez, ya rien à faire ils m'ont volé 30? moi.. En plus de cela netbusinessrating est en mêche avec eux.. | Edit. : 08/01/2014 17:01:10",2014-01-08,2020-05-09 14:23:00,2014,1,2014-01,2,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62410,27823,2014-01-08 14:56:27,0,987,Zicado,0,1,"bonjour alor zicado:forum bloquer on peut pas ecrire,boutique vide,aucune reponse du webmaster,jai voulu tester jai commander un cadeau ca va faire 2mois le 16 janvier que jaurai commander un petit truc de lego beau envoyè des mails auccune reponse le web d avant etai mieux","bonjour alor zicado:forum bloquer on peut pas ecrire,boutique vide,aucune reponse du webmaster,jai voulu tester jai commander un cadeau ca va faire 2mois le 16 janvier que jaurai commander un petit truc de lego beau envoyè des mails auccune reponse le web d avant etai mieux",2014-01-08,2020-05-09 14:56:27,2014,1,2014-01,2,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62575,27383,2014-01-10 22:21:10,0,10925,quizz.tv,0,1,"Une bague tendance commandée il y a 3 mois . Toujours rien recu , j'ai contacté le service client , personne ne reponds . Ce site est une pure arnaque ! ","Une bague tendance commandée il y a 3 mois . Toujours rien recu , j'ai contacté le service client , personne ne reponds . Ce site est une pure arnaque ! ",2014-01-10,2020-05-09 22:21:10,2014,1,2014-01,4,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62670,13881,2014-01-12 14:36:53,0,5168,MAILREMUNERE.NET,0,1,"Bucks-box.com by Mail-Remunere.com<br />
ne répond pas au mail <br />
impossible de se desinscrire <br />
renvoie du mot de passe oublié qui marche pas je valide <br />
c'est une arnaque ",Bucks-box.com by Mail-Remunere.com ne répond pas au mail  impossible de se desinscrire  renvoie du mot de passe oublié qui marche pas je valide  c'est une arnaque ,2014-01-12,2020-05-09 14:36:53,2014,1,2014-01,6,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62835,27942,2014-01-14 20:39:08,0,2174,PokCity,0,1,"Grosse arnaque, site à éviter, staff incompétent, concours complètement bidon qui privilégie le loto au poker. Et ah oui pour gagner il faut dépenser de l'argent sinon n'imaginez même pas avoir un lot dans un concours.<br />
Les parties deviennent truqué si vous gagné trop le jeu se chargera de vous faire perdre avec des grosses mains.<br />
Après 2 ans sur ce site j'ai fini par arrêter vu le manque d'activité du staff et les parties truqués.<br />
Aucun respect pour le client, enfin bref ce site est parfais si vous aimez les parties de loto et les lotomans.<br />
Si vous cherchez à jouer au poker ce n'est pas le site qu'il vous faut.","Grosse arnaque, site à éviter, staff incompétent, concours complètement bidon qui privilégie le loto au poker. Et ah oui pour gagner il faut dépenser de l'argent sinon n'imaginez même pas avoir un lot dans un concours. Les parties deviennent truqué si vous gagné trop le jeu se chargera de vous faire perdre avec des grosses mains. Après 2 ans sur ce site j'ai fini par arrêter vu le manque d'activité du staff et les parties truqués. Aucun respect pour le client, enfin bref ce site est parfais si vous aimez les parties de loto et les lotomans. Si vous cherchez à jouer au poker ce n'est pas le site qu'il vous faut.",2014-01-14,2020-05-09 20:39:08,2014,1,2014-01,1,Tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62977,27813,2014-01-16 20:02:24,0,10360,naidbux,0,1,"ce site a fermer,et aussi nerdclix meme administrateur, la merde ","ce site a fermer,et aussi nerdclix meme administrateur, la merde ",2014-01-16,2020-05-09 20:02:24,2014,1,2014-01,3,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63019,27997,2014-01-17 11:20:55,1,10882,NeatBux,0,1,"ce site est une arnaque<br />
il est impossible de retirer votre argent si vous avez pas fait d'investissement <br />
<br />
standard 0,10&euro; / pub<br />
prémium 0,07&euro;/pub<br />
<br />
y'a comme un problème la .....<br />
<br />
ARNAQUE","ce site est une arnaque il est impossible de retirer votre argent si vous avez pas fait d'investissement   standard 0,10€ / pub prémium 0,07€/pub  y'a comme un problème la .....  ARNAQUE",2014-01-17,2020-05-09 11:20:55,2014,1,2014-01,4,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63021,27997,2014-01-17 11:23:58,0,10772,All In One,0,1,"ce site est une arnaque ...<br />
<br />
il a été fermé par son propriétaire...<br />
<br />
SITE FERME !!!!!!!!!!!!!",ce site est une arnaque ...  il a été fermé par son propriétaire...  SITE FERME !!!!!!!!!!!!!,2014-01-17,2020-05-09 11:23:58,2014,1,2014-01,4,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63168,27577,2014-01-19 10:11:23,0,10713,Mafia-remunere,0,1,"Arnaque, l'admin s'est tiré avec tout l'argent, ne paie plus ces membres, j'ai fais plusieurs demande de virements de 100 et 200&euro; je n'ai eu aucun réponse comme par hasard. Site a mettre en Arnaque. <br />
Plusieurs ami ( dont lena31 ) ont demandé un paiements, jamais reçu.<br />
J'ai fais une demande de fermeture de ce site à Mamafia.fr mais aucune réponse :/ j'espere qu'ils feront vite.<br />
Au début le site allait bien, mais là l'admin ne se co plus du tout.<br />
Alors tant qu'il y aura des membres, il gagnera de l'argent.<br />
Je demande à tout le monde de ne plus se connecter ou s'inscrire sur ce site.<br />
","Arnaque, l'admin s'est tiré avec tout l'argent, ne paie plus ces membres, j'ai fais plusieurs demande de virements de 100 et 200€ je n'ai eu aucun réponse comme par hasard. Site a mettre en Arnaque.  Plusieurs ami ( dont lena31 ) ont demandé un paiements, jamais reçu. J'ai fais une demande de fermeture de ce site à Mamafia.fr mais aucune réponse :/ j'espere qu'ils feront vite. Au début le site allait bien, mais là l'admin ne se co plus du tout. Alors tant qu'il y aura des membres, il gagnera de l'argent. Je demande à tout le monde de ne plus se connecter ou s'inscrire sur ce site. ",2014-01-19,2020-05-09 10:11:23,2014,1,2014-01,6,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63176,27365,2014-01-19 11:11:45,0,10864,nerdclix,0,1,Je vous l'avais bien dit. ^^,Je vous l'avais bien dit. ^^,2014-01-19,2020-05-09 11:11:45,2014,1,2014-01,6,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63216,28056,2014-01-19 18:46:17,0,9983,Nerdbux,0,1,"Attention, ce site est en train de virer scam... Impossible de changer l'adresse de paiement, plus possible de louer des référents à plus de 30 jours, peu de clics des référents (???) et finalement mon compte a disparu comme par magie...<br />
Je me suis dit que cela était peut-être un problème de pass alors j'ai fait une demande et je suis tombé sur cela : <br />
http://hpics.li/72002b4<br />
Cliquer d'abord sur le lien puis cliquer sur le 2ème lien nerdbux","Attention, ce site est en train de virer scam... Impossible de changer l'adresse de paiement, plus possible de louer des référents à plus de 30 jours, peu de clics des référents (???) et finalement mon compte a disparu comme par magie... Je me suis dit que cela était peut-être un problème de pass alors j'ai fait une demande et je suis tombé sur cela :  http://hpics.li/72002b4 Cliquer d'abord sur le lien puis cliquer sur le 2ème lien nerdbux",2014-01-19,2020-05-09 18:46:17,2014,1,2014-01,6,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63217,28056,2014-01-19 18:54:28,0,10310,ExcellentBux,0,1,vous pouvez le passer en scam... J'attends le paiement depuis un mois et pas de réponse de l'administration. Normalement il faut quelques secondes pour un paiement électronique donc 1 mois cela fait beaucoup !,vous pouvez le passer en scam... J'attends le paiement depuis un mois et pas de réponse de l'administration. Normalement il faut quelques secondes pour un paiement électronique donc 1 mois cela fait beaucoup !,2014-01-19,2020-05-09 18:54:28,2014,1,2014-01,6,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63218,28056,2014-01-19 19:01:36,0,10474,fractualites.com,0,1,Au départ ils ont payé quelques personnes puis ils ont virés scam... Ce genre de chose est souvent dû à une changement de propriétaire... ,Au départ ils ont payé quelques personnes puis ils ont virés scam... Ce genre de chose est souvent dû à une changement de propriétaire... ,2014-01-19,2020-05-09 19:01:36,2014,1,2014-01,6,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
